user_id,treatment_group,displayed_price,clicked,purchased,revenue
1,A,10.0,0,0,0.0
2,B,11.5,0,0,0.0
3,B,11.5,1,0,0.0
4,B,11.5,1,0,0.0
5,A,10.0,1,0,0.0
6,A,10.0,1,0,0.0
7,A,10.0,1,0,0.0
8,B,11.5,0,0,0.0
9,B,11.5,0,0,0.0
10,B,11.5,0,0,0.0
11,A,10.0,1,1,10.0
12,B,11.5,0,0,0.0
13,B,11.5,0,0,0.0
14,A,10.0,0,0,0.0
15,A,10.0,0,0,0.0
16,A,10.0,0,0,0.0
17,A,10.0,0,0,0.0
18,B,11.5,0,0,0.0
19,A,10.0,0,0,0.0
20,A,10.0,1,1,10.0
21,B,11.5,0,0,0.0
22,A,10.0,0,0,0.0
23,A,10.0,0,0,0.0
24,A,10.0,0,0,0.0
25,A,10.0,1,0,0.0
26,B,11.5,0,0,0.0
27,A,10.0,1,0,0.0
28,B,11.5,0,0,0.0
29,B,11.5,0,0,0.0
30,A,10.0,0,0,0.0
31,B,11.5,0,0,0.0
32,A,10.0,1,1,10.0
33,A,10.0,0,0,0.0
34,B,11.5,0,0,0.0
35,B,11.5,1,0,0.0
36,B,11.5,0,0,0.0
37,A,10.0,0,0,0.0
38,A,10.0,0,0,0.0
39,B,11.5,0,0,0.0
40,A,10.0,1,0,0.0
41,A,10.0,1,0,0.0
42,A,10.0,0,0,0.0
43,A,10.0,0,0,0.0
44,B,11.5,0,0,0.0
45,A,10.0,1,0,0.0
46,B,11.5,1,0,0.0
47,A,10.0,1,0,0.0
48,B,11.5,1,0,0.0
49,B,11.5,0,0,0.0
50,A,10.0,0,0,0.0
51,B,11.5,0,0,0.0
52,B,11.5,1,0,0.0
53,B,11.5,0,0,0.0
54,B,11.5,0,0,0.0
55,B,11.5,0,0,0.0
56,B,11.5,0,0,0.0
57,A,10.0,1,0,0.0
58,A,10.0,1,1,10.0
59,A,10.0,0,0,0.0
60,A,10.0,1,0,0.0
61,A,10.0,1,0,0.0
62,A,10.0,0,0,0.0
63,B,11.5,0,0,0.0
64,A,10.0,1,0,0.0
65,A,10.0,0,0,0.0
66,B,11.5,0,0,0.0
67,A,10.0,1,0,0.0
68,B,11.5,1,0,0.0
69,A,10.0,0,0,0.0
70,B,11.5,0,0,0.0
71,B,11.5,0,0,0.0
72,A,10.0,1,0,0.0
73,A,10.0,1,0,0.0
74,B,11.5,0,0,0.0
75,B,11.5,0,0,0.0
76,B,11.5,0,0,0.0
77,B,11.5,0,0,0.0
78,A,10.0,0,0,0.0
79,A,10.0,1,1,10.0
80,A,10.0,0,0,0.0
81,B,11.5,0,0,0.0
82,B,11.5,1,0,0.0
83,A,10.0,1,0,0.0
84,A,10.0,0,0,0.0
85,A,10.0,0,0,0.0
86,A,10.0,0,0,0.0
87,B,11.5,1,0,0.0
88,B,11.5,1,1,11.5
89,B,11.5,1,0,0.0
90,A,10.0,0,0,0.0
91,A,10.0,0,0,0.0
92,B,11.5,0,0,0.0
93,B,11.5,0,0,0.0
94,B,11.5,1,0,0.0
95,B,11.5,0,0,0.0
96,A,10.0,0,0,0.0
97,B,11.5,1,0,0.0
98,A,10.0,0,0,0.0
99,A,10.0,1,0,0.0
100,A,10.0,1,0,0.0
101,A,10.0,0,0,0.0
102,B,11.5,0,0,0.0
103,A,10.0,0,0,0.0
104,B,11.5,0,0,0.0
105,B,11.5,1,0,0.0
106,A,10.0,1,0,0.0
107,A,10.0,0,0,0.0
108,B,11.5,0,0,0.0
109,A,10.0,0,0,0.0
110,A,10.0,1,0,0.0
111,A,10.0,0,0,0.0
112,A,10.0,0,0,0.0
113,B,11.5,0,0,0.0
114,B,11.5,0,0,0.0
115,B,11.5,1,0,0.0
116,B,11.5,1,0,0.0
117,B,11.5,0,0,0.0
118,A,10.0,1,0,0.0
119,B,11.5,1,0,0.0
120,B,11.5,0,0,0.0
121,B,11.5,0,0,0.0
122,B,11.5,0,0,0.0
123,A,10.0,0,0,0.0
124,A,10.0,1,0,0.0
125,A,10.0,1,0,0.0
126,A,10.0,0,0,0.0
127,B,11.5,0,0,0.0
128,B,11.5,0,0,0.0
129,A,10.0,1,1,10.0
130,B,11.5,0,0,0.0
131,A,10.0,0,0,0.0
132,A,10.0,0,0,0.0
133,A,10.0,1,0,0.0
134,A,10.0,0,0,0.0
135,B,11.5,0,0,0.0
136,A,10.0,0,0,0.0
137,B,11.5,1,0,0.0
138,B,11.5,1,0,0.0
139,A,10.0,1,0,0.0
140,B,11.5,0,0,0.0
141,B,11.5,1,0,0.0
142,A,10.0,0,0,0.0
143,A,10.0,1,0,0.0
144,A,10.0,0,0,0.0
145,A,10.0,1,0,0.0
146,A,10.0,1,0,0.0
147,B,11.5,1,0,0.0
148,B,11.5,1,0,0.0
149,A,10.0,0,0,0.0
150,A,10.0,1,0,0.0
151,B,11.5,1,0,0.0
152,A,10.0,0,0,0.0
153,A,10.0,1,1,10.0
154,A,10.0,0,0,0.0
155,B,11.5,0,0,0.0
156,A,10.0,0,0,0.0
157,B,11.5,0,0,0.0
158,B,11.5,1,0,0.0
159,A,10.0,0,0,0.0
160,B,11.5,0,0,0.0
161,A,10.0,1,0,0.0
162,B,11.5,1,0,0.0
163,B,11.5,0,0,0.0
164,B,11.5,0,0,0.0
165,A,10.0,0,0,0.0
166,B,11.5,1,0,0.0
167,A,10.0,1,1,10.0
168,A,10.0,0,0,0.0
169,A,10.0,0,0,0.0
170,B,11.5,0,0,0.0
171,B,11.5,1,0,0.0
172,A,10.0,0,0,0.0
173,B,11.5,1,0,0.0
174,A,10.0,0,0,0.0
175,B,11.5,0,0,0.0
176,A,10.0,0,0,0.0
177,B,11.5,0,0,0.0
178,A,10.0,1,0,0.0
179,B,11.5,0,0,0.0
180,A,10.0,1,0,0.0
181,A,10.0,1,0,0.0
182,A,10.0,0,0,0.0
183,B,11.5,0,0,0.0
184,B,11.5,0,0,0.0
185,A,10.0,1,0,0.0
186,B,11.5,1,0,0.0
187,B,11.5,0,0,0.0
188,B,11.5,1,0,0.0
189,B,11.5,0,0,0.0
190,A,10.0,0,0,0.0
191,A,10.0,0,0,0.0
192,B,11.5,1,0,0.0
193,B,11.5,1,0,0.0
194,B,11.5,0,0,0.0
195,A,10.0,0,0,0.0
196,A,10.0,1,1,10.0
197,B,11.5,0,0,0.0
198,B,11.5,1,0,0.0
199,B,11.5,0,0,0.0
200,B,11.5,1,1,11.5
201,B,11.5,0,0,0.0
202,A,10.0,0,0,0.0
203,A,10.0,0,0,0.0
204,B,11.5,0,0,0.0
205,B,11.5,0,0,0.0
206,A,10.0,1,0,0.0
207,A,10.0,0,0,0.0
208,B,11.5,1,1,11.5
209,A,10.0,1,0,0.0
210,A,10.0,1,0,0.0
211,B,11.5,1,0,0.0
212,B,11.5,0,0,0.0
213,B,11.5,1,0,0.0
214,A,10.0,1,0,0.0
215,B,11.5,0,0,0.0
216,A,10.0,0,0,0.0
217,A,10.0,0,0,0.0
218,B,11.5,1,0,0.0
219,B,11.5,1,0,0.0
220,B,11.5,0,0,0.0
221,B,11.5,1,0,0.0
222,B,11.5,0,0,0.0
223,A,10.0,0,0,0.0
224,A,10.0,1,0,0.0
225,A,10.0,0,0,0.0
226,A,10.0,1,0,0.0
227,B,11.5,1,0,0.0
228,A,10.0,1,0,0.0
229,B,11.5,0,0,0.0
230,B,11.5,1,0,0.0
231,B,11.5,1,0,0.0
232,B,11.5,0,0,0.0
233,B,11.5,0,0,0.0
234,A,10.0,0,0,0.0
235,A,10.0,1,0,0.0
236,B,11.5,1,0,0.0
237,A,10.0,1,1,10.0
